PCAP FILENAME,HASH FILE,VENDOR,THREAT NAME,ENGINE
20201114_pcap,f7456d027f7742aecb39ef0125cb13096f908a7e,Bkav,HW32.Packed.,57 Engine dari 70
20201114_pcap,f7456d027f7742aecb39ef0125cb13096f908a7e,Bkav,HW32.Packed.,57 Engine dari 70
